Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Huberdeau, Jonathan;CGY;;LW;33;;;10500000;10500000;10500000;10500000;10500000
Wolf, Dustin;CGY;;G;25;;;7500000;7500000;7500000;7500000;7500000
Nemec, Simon;CGY;;RD;22;;;7250000;7250000;7250000;7250000;7250000
Kadri, Nazem;CGY;;C,LW;35;;2026-27|2027-28|2028-29;7000000;7000000;7000000;0;0
Coronato, Matt;CGY;;RW,LW;23;;;6500000;6500000;6500000;6500000;6500000
Sharangovich, Yegor;CGY;;C,LW;28;;;5750000;5750000;5750000;5750000;UFA
Bahl, Kevin;CGY;;LD;26;;;5350000;5350000;5350000;5350000;5350000
Farabee, Joel;CGY;;LW,RW;26;;;5000000;5000000;UFA;0;0
Strome, Ryan;CGY;;C;32;;;5000000;UFA;0;0;0
Coleman, Blake;CGY;;LW,RW;34;;2026-27;4900000;0;0;0;0
Frost, Morgan;CGY;;C;27;;;4375000;UFA;0;0;0
Middleton, Jacob;CGY;;LD;30;;;4350000;4350000;4350000;UFA;0
Zary, Connor;CGY;;C,LW;24;;;3775000;3775000;RFA;0;0
Backlund, Mikael;CGY;;C;37;;;3250000;3250000;UFA;0;0
Whitecloud, Zach;CGY;;RD;29;;;2750000;2750000;UFA;0;0
Pospisil, Martin;CGY;;C,LW;26;;;2500000;2500000;2500000;UFA;0
Tsyplakov, Maxim;CGY;;LW,RW;27;;;2250000;UFA;0;0;0
Hanley, Joel;CGY;;LD;35;;;1750000;UFA;0;0;0
Cooley, Devin;CGY;;G;29;;;1350000;1350000;UFA;0;0
Klapka, Adam;CGY;;RW,LW;25;;;1250000;RFA;0;0;0
Pachal, Brayden;CGY;;RD;26;;;1187500;UFA;0;0;0
Castagna, Jonathan;CGY;ELC;C;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Stockselius, Theo;CGY;ELC;;18;2026-27|2027-28|2028-29;;1015833;1015833;1015833;RFA;0
Zarubin, Kirill;CGY;ELC;G;20;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Hurtig, Axel;CGY;ELC;D;21;2026-27|2027-28|2028-29;;990000;990000;990000;RFA;0
Gross, Tyson;CGY;ELC;;23;2026-27;;975000;RFA;0;0;0
Gridin, Matvei;CGY;ELC;RW,LW;20;2026-27|2027-28;;953750;953750;RFA;0;0
Parekh, Zayne;CGY;ELC;RD;20;2026-27|2027-28;;953750;953750;RFA;0;0
Wiebe, Abram;CGY;ELC;D;22;2026-27;;950000;RFA;0;0;0
Brzustewicz, Hunter;CGY;ELC;RD;21;2026-27;;950000;RFA;0;0;0
Sergeyev, Arseni;CGY;ELC;G;23;2026-27;;941250;RFA;0;0;0
Basha, Andrew;CGY;ELC;LW;20;2026-27|2027-28|2028-29;;932500;932500;932500;RFA;0
Suniev, Aydar;CGY;ELC;LW;21;2026-27;;923333;RFA;0;0;0
Honzek, Samuel;CGY;ELC;LW,C;21;2026-27|2027-28;;909166;909166;RFA;0;0
Englund, Andreas;CGY;;D;30;;;900000;UFA;0;0;0
Benning, Michael;CGY;;RD;24;;;850000;0;0;0;0
Morton, Sam;CGY;;C,LW;26;;;850000;UFA;0;0;0
Kerins, Rory;CGY;;C,LW;24;;;850000;0;0;0;0
Strömgren, William;CGY;;LW,RW;23;;;850000;RFA;0;0;0
Hunt, Dryden;CGY;;LW,RW;30;;;850000;UFA;0;0;0
Jones, Ben;CGY;;C;27;;;850000;UFA;0;0;0
Livingstone, Jake;CGY;;D;27;;;850000;UFA;0;0;0
Kuznetsov, Yan;CGY;;LD;24;;;812500;0;0;0;0
Cicek, Nick;CGY;;D;26;;;0;0;0;0;0
White, Gavin;CGY;;D;23;;;0;0;0;0;0
Ciona, Lucas;CGY;;LW,RW;23;;;0;0;0;0;0
Say, Owen;CGY;;G;25;;;0;0;0;0;0
Bell, Parker;CGY;;LW,RW;22;;;0;0;0;0;0
King, Carter;CGY;;;24;;;0;0;0;0;0
Grushnikov, Artyom;CGY;;D;23;;;0;0;0;0;0
Bean, Jake;CGY;;LD;28;;;UFA;0;0;0;0
Othmann, Brennan;CGY;;LW;23;;;RFA;0;0;0;0
Bishop, Clark;CGY;;C,LW;30;;;UFA;0;0;0;0
Miromanov, Daniil;CGY;;RD;28;;;UFA;0;0;0;0
Okhotyuk, Nikita;CGY;;D;25;;;RFA;0;0;0;0
Prosvetov, Ivan;CGY;;G;27;;;UFA;0;0;0;0
undefined, undefined;CGY;;;;;;;;;;
